,stores_website,email_addresses,store_name,busenss_type,commercial_record,business_chanel,maroof_number,rating,number_raters,about_stores
0,,Etian_p@outlook.sa,متجر المنزل ,أخرى, 4030218247, متجر إلكتروني  , 1004,0 ,0 ,"متجر متخصص في بيع و تجهيز المنازل بأدوات النظافة و الضيافة الفندقية 
            "
1,https://istore-ksa.com,info@istore-ksa.com,آي ستور,تسويق إلكتروني, 5850037512, متجر إلكتروني  , 1008,9.6 ,59 ,"آي ستور موزع معتمد من ابل لبيع منتجات ابل واكسسواراتها وملحقاتها الاصلية والمعتمدة وصيانتها
            "
2,http://12cups.com.sa,Sales@12cups.com.sa,اثني عشر كوب,أخرى, 1010364052, متجر إلكتروني  , 1013,7.6 ,7 ,متخصصون بمختلف انواع القهوة و أدواتها و طرق تحضيرها
3,,almesbah.store@gmail.com,المسباح,أخرى, 1010371443, متجر إلكتروني  , 1016,10 ,3 ,"أهلاً! نحن المسباح نعمل في مجال السبح وملحقاتها منذ ٢٠١٠م نهتم بأدق التفاصيل لتظهر لكم السبحة بأجمل حلة لها.
            "
4,https://tcare-ksa.com/,mashary.software@gmail.com,العناية الفنية لتقنية المعلومات,إلكترونيات واكسسورات, 2050100555, متجر إلكتروني  , 1023,10 ,1 ,"متخصصون في صيانة جميع انواع أجهزة الكمبيوتر المكتبية والاجهزة المحموله وصيانة الجوالات بجميع انواعها
            "
5,http://www.zohooronline.com,info@zohooronline.com,زهور اونلاين,تخطيط مناسبات وحفلات, 2050208161, متجر إلكتروني  , 1036,0 ,0 ,"زهور اونلاين هو موقع متخصص في توصيل الزهور والهدايا في المملكة العربية السعودية. نعدكم بتوصيل زهور جديدة ومشرفة ان شاء الله في اليوم المحدد.
            "
6,http://www.cutestore6.com,aassaa112@hotmail.com,كيوت ستور,مستلزمات المرأة, 2251101857, متجر إلكتروني  , 1045,9.8 ,837 ,"متجر الكتروني متخصص في الشنط والاكسسورات النسائيه  من الماركات العالميه مع التوصيل السريع لكل مدن المملكة 
            "
7,http://www.arQamy.com,info@arQamy.com,أرقامي لبيع الأرقام المميزة,تسويق إلكتروني, 1010736029, متجر إلكتروني  , 1048,10 ,2 ,"من خلال موقع (أرقامي) لبيع الأرقام المميزة, يمكنك اختيار رقم (جوال) الذي ترغب بشرائه مع وجود خانة للبحث عن رقم او مقسم معين, ومن ثم الضغط على الرقم المطلوب لمعرفة طريقة التواصل للإتفاق على عملية البيع والتنازل بكل يسر وسهولة.
            "
8,,A-moof33@hotmail.com,أثيرز,أخرى, 17e65eb2, متجر إلكتروني  , 1051,0 ,0 ,متجر أثيرز للرسم الحي المباشر في المناسبات والايفينتات والزواجات
9,https://salla.sa/giftee,hayaald4@hotmail.com,قفتي,تسويق إلكتروني, 9f02e704, متجر إلكتروني  , 1071,0 ,0 ,"متجر لبيع بطاقات هدايا رقمية والاستفادة منها في المتاجر المختارة
            "
10,,gioia-sa@hotmail.com,جويا لانجري,مستلزمات المرأة, b501df22, متجر إلكتروني  , 1076,3 ,2 ,"بيع ملابس نسائية
            "
11,,Hala.zaini@gmail.com,هدايا رمضانية,أخرى, 4030351368, متجر إلكتروني  , 1077,0 ,0 ,"هدايا رمضانية و خدمة تغليف الهدايا بأفكار جديدة و مبتكرة
            "
12,http://www.nafud.com,Sales@nafud.com,نفود,أخرى, 2050206702, متجر إلكتروني  , 1084,5.2 ,10 ,"نفود : هو المتجر الإلكتروني الأول المتخصص في الزي السعودي والذي يقوم ببيع جميع المستلزمات الرجالية من أنواع الأشمغة والأقمشة الرجالية الفاخرة والإكسسوارات وغيرها من احتياجات الرجل السعودي.
ويعتبر موقع نفود أول موقع متخصص بالسعودية وقد حصل الموقع على أتفاقيه حصريه لبيع منتجات شركة نسما شاهين على .
            "
13,https://salla.sa/muskellolo,info@muskellolo.com,مؤسسة مسك اللولو للتجارة,أخرى,, متجر إلكتروني  , 1089,10 ,3 ,نختص بصناعة المنتجات العطرية بتركيبات فريدة نستشف نقائها من حبات اللؤلؤ ومن المسك العتيق
